epoch,batch,loss,time_per_10_steps
4,280,0.2228,1.0365
4,290,0.2027,1.5961
4,300,0.2129,2.0989
4,310,0.1683,1.0606
4,320,0.1752,1.0553
4,330,0.2137,1.0529
4,340,0.2154,1.0410
4,350,0.1636,1.0395
4,360,0.2567,1.0437
4,370,0.2024,1.0416
4,380,0.1874,1.0369
4,390,0.1889,1.0451
4,400,0.1540,1.5690
4,410,0.1805,2.1227
4,420,0.1530,1.0536
4,430,0.1791,1.0296
4,440,0.2224,1.0353
4,450,0.2887,1.0271
4,460,0.1888,1.0593
4,470,0.1620,1.0326
4,480,0.2260,1.0343
4,490,0.2138,1.0432
4,500,0.1762,1.0311
4,510,0.1663,1.3490
4,520,0.1950,2.0690
4,530,0.2032,1.2938
4,540,0.1780,1.0427
4,550,0.2309,1.0352
4,560,0.1879,1.0526
4,570,0.2193,1.0499
4,580,0.2064,1.0356
4,590,0.1930,1.0381
4,600,0.1438,1.0456
4,610,0.1599,1.0776
4,620,0.2168,1.1971
4,630,0.1713,2.0842
4,640,0.1938,1.4429
4,650,0.1781,1.0242
4,660,0.1395,1.0223
4,670,0.1874,1.0307
4,680,0.1773,1.0235
4,690,0.1902,1.0421
4,700,0.1849,1.0276
4,710,0.1648,1.0214
4,720,0.1688,1.0682
4,730,0.1713,1.0326
4,740,0.1807,2.0322
4,750,0.1511,1.6522
4,760,0.2164,1.0515
4,770,0.1893,1.0677
4,780,0.1578,1.0514
4,790,0.1793,1.0504
4,800,0.1464,1.0418
4,810,0.2046,1.0413
4,820,0.1889,1.0487
4,830,0.1492,1.0539
4,840,0.1746,1.0337
4,850,0.1814,1.8952
4,860,0.2331,1.8470
4,870,0.1894,1.0405
4,880,0.1786,1.0370
4,890,0.1926,1.0319
4,900,0.1702,1.0269
4,910,0.2170,1.0388
4,920,0.1817,1.0264
4,930,0.2000,1.0423
5,10,0.1893,1.1845
5,20,0.1748,1.0415
5,30,0.1838,1.0379
5,40,0.1790,1.0609
5,50,0.1680,1.0348
5,60,0.1708,1.0336
5,70,0.1743,1.0320
5,80,0.1754,1.0357
5,90,0.1748,1.5807
5,100,0.2108,2.0866
5,110,0.1847,1.0888
5,120,0.1234,1.0472
5,130,0.1326,1.0270
5,140,0.1546,1.0325
5,150,0.2255,1.0308
5,160,0.2039,1.0306
5,170,0.1097,1.0354
5,180,0.1735,1.0289
5,190,0.1838,1.0314
5,200,0.1688,1.3253
5,210,0.2309,2.0885
5,220,0.1415,1.3064
5,230,0.1687,1.0349
5,240,0.1800,1.1396
5,250,0.1532,1.0327
5,260,0.1469,1.0303
5,270,0.1460,1.0309
5,280,0.1973,1.0332
5,290,0.1386,1.0290
5,300,0.1589,1.0435
5,310,0.1712,1.1200
5,320,0.1590,2.1615
5,330,0.1670,1.4273
5,340,0.1632,1.0299
5,350,0.1324,1.0455
5,360,0.1839,1.0381
5,370,0.1797,1.0207
5,380,0.2030,1.0441
5,390,0.1571,1.0224
5,400,0.1706,1.0369
5,410,0.1973,1.0300
5,420,0.1512,1.0470
5,430,0.2579,2.0668
5,440,0.1949,1.6137
5,450,0.2066,1.0358
5,460,0.2169,1.0397
5,470,0.1574,1.0262
5,480,0.2001,1.0362
5,490,0.1928,1.0316
5,500,0.1235,1.0666
5,510,0.1632,1.0311
5,520,0.1728,1.0353
5,530,0.1552,1.0500
5,540,0.1500,1.9386
5,550,0.1905,1.7903
5,560,0.1930,1.0547
5,570,0.1588,1.0540
