epoch,batch,loss,time_per_10_steps
4,920,0.0483,1.1112
4,930,0.0263,1.1156
5,10,0.0496,1.2043
5,20,0.0482,1.1136
5,30,0.0439,1.1299
5,40,0.0349,1.1319
5,50,0.0713,1.1339
5,60,0.0398,1.1427
5,70,0.0532,1.1269
5,80,0.1104,1.1416
5,90,0.0692,1.1862
5,100,0.0539,1.1681
5,110,0.0460,1.1701
5,120,0.0290,1.1864
5,130,0.0275,1.1977
5,140,0.0589,1.1371
5,150,0.0739,1.1445
5,160,0.0632,1.1227
5,170,0.0534,1.1391
5,180,0.0482,1.1175
5,190,0.0551,1.0889
5,200,0.0552,1.1217
5,210,0.0858,1.0734
5,220,0.0570,1.0588
5,230,0.0621,1.0614
5,240,0.0597,1.0800
5,250,0.0602,1.0929
5,260,0.0637,1.0917
5,270,0.0527,1.0868
5,280,0.0411,1.0861
5,290,0.0528,1.0758
5,300,0.0518,1.0986
5,310,0.0345,1.0936
5,320,0.0725,1.0788
5,330,0.0455,1.0979
5,340,0.0418,1.0794
5,350,0.0592,1.0991
5,360,0.0467,1.0713
5,370,0.0586,1.1018
5,380,0.0467,1.1013
5,390,0.0649,1.1238
5,400,0.0334,1.1027
5,410,0.0344,1.1175
5,420,0.0529,1.0892
5,430,0.0575,1.1173
5,440,0.0490,1.0888
5,450,0.0713,1.1077
5,460,0.0585,1.1016
5,470,0.0537,1.1043
5,480,0.0618,1.1078
5,490,0.0706,1.1054
5,500,0.0597,1.0980
5,510,0.0447,1.0922
5,520,0.0440,1.1007
5,530,0.0348,1.0842
5,540,0.0482,1.0874
5,550,0.0401,1.0752
5,560,0.0649,1.1005
5,570,0.0459,1.0896
5,580,0.0361,1.1130
5,590,0.0603,1.1002
5,600,0.0431,1.1107
5,610,0.0338,1.0865
5,620,0.0655,1.0920
5,630,0.0612,1.0814
5,640,0.0450,1.1044
5,650,0.0721,1.0885
5,660,0.0473,1.1100
5,670,0.0430,1.0974
5,680,0.0431,1.1125
5,690,0.0398,1.1137
5,700,0.0471,1.1101
5,710,0.0553,1.1084
5,720,0.0511,1.0746
5,730,0.0728,1.1075
5,740,0.0684,1.0888
5,750,0.0414,1.0984
5,760,0.0336,1.1084
5,770,0.0574,1.0780
5,780,0.0833,1.1003
5,790,0.0437,1.1015
5,800,0.0406,1.1069
5,810,0.0668,1.0853
5,820,0.0399,1.0999
5,830,0.0802,1.0811
5,840,0.0360,1.1171
5,850,0.0533,1.0798
5,860,0.0692,1.0878
5,870,0.0945,1.0867
5,880,0.0511,1.0905
5,890,0.0555,1.1094
5,900,0.0500,1.1077
5,910,0.0644,1.0895
5,920,0.0292,1.0834
5,930,0.0621,1.1085
